index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
6221,8.0,50.0,256.0,32.0,256.0,5.0,8.0,1.0,-2137.04519749964,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,871.31109858048,False,True,0.44623006019737155
7493,8.0,50.0,10.0,256.0,256.0,5.0,8.0,1.0,-3305.97998613847,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,802.9828584330104,False,False,0.3303147597010425
19863,8.0,10.0,256.0,256.0,256.0,3.0,16.0,3.0,-1952.46570358682,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,648.5034298477988,False,True,0.009485002349571904
29470,8.0,20.0,256.0,64.0,256.0,5.0,20.0,4.0,-2304.50766304376,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,652.2251573080682,False,True,0.02930642632519561
7727,8.0,50.0,30.0,32.0,256.0,1.0,12.0,4.0,-1705.04485478122,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,732.6741303358472,False,False,0.2366315248419181
375263,48.0,50.0,256.0,96.0,256.0,5.0,8.0,4.0,-2735.9508069295,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,979.8756249139268,False,True,0.08161324238188643
7194,8.0,1.0,256.0,192.0,256.0,5.0,8.0,4.0,-2788.8022399965,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,963.705226226578,False,True,0.1485414586483056
55194,8.0,1.0,256.0,256.0,256.0,1.0,72.0,4.0,-2101.85280456599,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,957.1022539365055,False,True,0.6538289021241677
408474,48.0,1.0,256.0,256.0,256.0,1.0,32.0,4.0,-2500.33252379089,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,979.3353639126108,False,True,0.2907242362289331
476255,72.0,50.0,256.0,32.0,256.0,1.0,48.0,4.0,-3840.03896086621,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,932.7885384953003,False,False,0.8054389992933706
