index,#vm,ram,target,memory_queue,acquisition,terminated,feasible,ml_mape
499,14.0,0.7,-5600224.0,,,False,False,
116,12.0,0.2,-10052952.0,,,False,False,
39,6.0,0.2,-9783630.0,,,False,False,
0,3.0,0.2,-6782883.0,,-0.0,False,False,0.19038998493553758
10,4.0,0.2,-8015384.0,,-0.0,False,False,0.014302747824675801
20,5.0,0.2,-9436605.0,,-0.0,False,False,0.026297037892197096
40,7.0,0.2,-10276763.0,,-0.0,False,False,0.03490320968329508
63,8.0,0.2,-9751200.0,,-0.0,False,False,0.1007009780656403
65,9.0,0.2,-10237491.0,,-0.0,False,False,0.016706735574375863
84,10.0,0.2,-10254350.0,,-0.0,False,False,0.0032426339752464864
92,11.0,0.2,-10798579.0,,-0.0,False,False,0.07423585742698129
120,13.0,0.2,-8398923.0,,-0.0,False,False,0.17973168104723203
150,15.0,0.2,-7718760.0,,-0.0,False,False,0.04522614296728573
173,16.0,0.2,-9021200.0,,-0.0,False,False,0.19085404009633872
175,17.0,0.2,-9910167.0,,-0.0,False,False,0.17787203465492785
213,18.0,0.2,-9415458.0,,-0.0,False,False,0.003708257509430658
215,19.0,0.2,-9311957.0,,-0.0,False,False,0.07927781768481199
243,20.0,0.2,-9209900.0,,-0.0,False,False,0.1525118161231266
249,21.0,0.2,-9138129.0,,-0.0,False,False,0.21538489759757523
281,22.0,0.2,-8355358.0,,-0.0,False,False,0.38309893106037224
289,23.0,0.2,-9440672.0,,-0.0,False,False,0.2324638868864973
314,24.0,0.2,-8312232.0,,-0.0,False,False,0.4782602152225206
329,3.0,0.9,-3937797.0,,-0.0,False,False,0.6122110706103882
339,4.0,0.9,-2195600.0,,-0.0,False,False,1.3902881787083112
349,5.0,0.9,-2514650.0,,-0.0,False,False,0.6999530832255672
359,6.0,0.9,-2607030.0,,-0.0,False,False,0.42923324353212483
369,6.0,0.7,-3952086.0,,-0.0,False,False,0.4540517133754387
410,8.0,0.7,-4361248.0,,-0.0,False,False,0.2100217548572418
432,10.0,0.7,-3821980.0,,-0.0,False,False,0.08339828717008163
473,12.0,0.7,-5478492.0,,-0.0,False,False,0.521728071018869
562,20.0,0.7,-4132180.0,,-0.0,False,False,1.0088055727417717
604,24.0,0.7,-4437600.0,,-0.0,False,True,0.5061504124639115
625,26.0,0.7,-4426656.0,,-0.0,False,True,1.081375974024611
