index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
3028,24.0,3.0,8.0,22.0,-144342.0,,,False,True,
11210,64.0,2.0,15.0,14.0,-152432.0,,,False,True,
11886,24.0,1.0,10.0,12.0,-181236.0,,,False,True,
0,64.0,3.0,16.0,32.0,-274336.0,,0.0,False,True,2.8265874706786644
1456,24.0,1.0,16.0,27.0,-362826.0,,1.5457885324236549,False,True,0.3074271079306534
2746,24.0,2.0,8.0,23.0,-197846.0,,78.53054794538002,False,True,0.27509506967402
3586,24.0,3.0,9.0,20.0,-137340.0,,63.60199429622186,False,True,0.16156749476306856
3658,24.0,3.0,5.0,20.0,-131000.0,,130.420500110711,False,True,0.21867012042197348
6914,64.0,1.0,14.0,9.0,-171513.0,,55.64700068633359,False,False,0.32664581159520667
5546,64.0,1.0,10.0,14.0,-189350.0,,39.145386646950094,False,True,0.13272625441413782
3986,64.0,3.0,16.0,19.0,-172710.0,,21.121357448759607,False,True,0.6325498732251258
5646,24.0,3.0,4.0,14.0,-92036.0,,12.509757206873095,False,True,0.2377289603720292
6276,24.0,3.0,1.0,12.0,-72552.0,,76.5159829327047,False,True,1.132435611070198
7104,24.0,3.0,3.0,9.0,-79929.0,,175.02601645801212,False,True,0.42086436672314786
6547,14.0,3.0,2.0,11.0,-87131.0,,72.35684549031701,False,True,0.2380685157747295
5053,14.0,3.0,5.0,16.0,-115424.0,,189.11571943041832,False,True,0.09229379085239943
7333,14.0,1.0,7.0,8.0,-155640.0,,153.7872254071551,False,False,0.14573464135675845
6545,34.0,3.0,2.0,11.0,-83512.0,,79.12214077510423,False,True,0.011367911642423319
8015,34.0,1.0,1.0,6.0,-113058.0,,192.09088611578042,False,False,0.20482087903636653
7031,34.0,3.0,7.0,9.0,-73512.0,,150.50199285270614,False,True,0.6076153286502186
5303,34.0,3.0,7.0,15.0,-110775.0,,289.29293992745954,False,True,0.13475528102958795
8381,34.0,3.0,12.0,4.0,-67732.0,,149.2321089096454,False,True,0.8446553472672242
7157,34.0,3.0,16.0,8.0,-89280.0,,291.72918066855124,False,True,0.4797542549564085
7822,44.0,3.0,11.0,6.0,-72282.0,,217.52240397384315,False,True,0.25623168123023105
7066,44.0,3.0,5.0,9.0,-77940.0,,408.1219854961929,False,True,0.14833959183461867
6106,44.0,1.0,11.0,12.0,-199968.0,,408.8925163712306,False,True,0.13407507677737115
8488,44.0,3.0,6.0,4.0,-54624.0,,1914.8581699035774,False,True,0.02098075748519017
9010,44.0,3.0,9.0,2.0,-58298.0,,231.86749154663124,False,False,0.4259843311254983
8235,54.0,3.0,4.0,5.0,-53775.0,,188.04467473191488,False,True,0.2928398720792951
7137,54.0,3.0,1.0,9.0,-81342.0,,571.7854322343325,False,True,0.8271658308398898
9159,54.0,2.0,1.0,2.0,-55216.0,,428.54008875166255,False,False,0.40875488380150904
8002,44.0,3.0,1.0,6.0,-51252.0,,209.7336614251014,False,True,0.3724362238291761
272,44.0,3.0,1.0,32.0,-241248.0,,183.60892612120458,False,True,0.07890103949170914
8576,64.0,3.0,1.0,4.0,-41524.0,,155.91079298469154,False,True,0.5566920278366436
9152,64.0,3.0,1.0,2.0,-39306.0,,232.57147852453252,False,False,0.14665641142694105
282,64.0,1.0,1.0,32.0,-366688.0,,89.35598105257851,False,True,0.7229355221064424
563,14.0,3.0,1.0,31.0,-158596.0,,52.69134730628374,False,True,2.1557003212583323
8019,54.0,3.0,16.0,5.0,-77300.0,,67.39954451921945,False,True,0.021820764589863977
2,44.0,3.0,16.0,32.0,-229504.0,,25.152417752325405,False,True,0.7133833079228774
8869,14.0,3.0,1.0,3.0,-41451.0,,17.01805560487704,False,True,0.18292947292086006
8020,44.0,3.0,16.0,5.0,-78565.0,,5.87345100528266,False,True,0.017055045165187768
9156,24.0,3.0,1.0,2.0,-38078.0,,2.115898595834983,False,False,0.14732882650955673
8023,14.0,3.0,16.0,5.0,-74340.0,,1.50040636727912,False,True,0.11729619181653277
8310,24.0,3.0,16.0,4.0,-74896.0,,58.39787883199996,False,False,0.10407186394224474
5143,14.0,3.0,16.0,15.0,-145665.0,,3.7939673600423265,False,True,0.2648333782974189
95,14.0,3.0,11.0,32.0,-210272.0,,1.0989200335846394,False,True,0.8754801963989528
8810,64.0,3.0,4.0,3.0,-51090.0,,1.475751099836306,False,False,0.02060992917865122
5715,54.0,3.0,16.0,13.0,-112073.0,,0.3714690992544304,False,True,0.0399383585571477
273,34.0,3.0,1.0,32.0,-232736.0,,0.23774985148880845,False,True,0.12750834987659587
4546,44.0,3.0,1.0,18.0,-126468.0,,0.10772045148096054,False,True,0.5671134272629622
8415,54.0,3.0,10.0,4.0,-60728.0,,0.257040052800556,False,True,0.10847700524408295
8796,24.0,3.0,5.0,3.0,-50943.0,,0.12610920194694328,False,True,0.001502804323691862
8797,14.0,3.0,5.0,3.0,-52092.0,,0.0695427112948241,False,False,0.027891297045373114
5984,64.0,3.0,1.0,13.0,-90233.0,,0.04491880565511385,False,True,0.12466140829451279
3969,54.0,3.0,1.0,20.0,-139080.0,,0.0785839400433167,False,True,0.44651713331269166
3973,14.0,3.0,1.0,20.0,-131820.0,,0.06164245629107659,False,True,0.5203195375119531
9154,44.0,3.0,1.0,2.0,-37412.0,,0.028224843171392195,False,False,0.09657455340333373
8813,34.0,3.0,4.0,3.0,-51507.0,,0.017924654896659262,False,False,0.031550857632168666
7148,64.0,1.0,1.0,9.0,-126414.0,,0.005176096427253252,False,True,0.18230258885171433
