index,#vm,ram,target,memory_queue,acquisition,terminated,feasible,ml_mape
54,7.0,0.2,-10022957.0,,,False,False,
529,16.0,0.7,-4126240.0,,,False,False,
594,22.0,0.7,-4153578.0,,,False,True,
562,20.0,0.7,-4132180.0,,1241622.022122236,False,False,0.1348226501844096
0,3.0,0.2,-6782883.0,,-0.0,False,False,0.2664585573917758
541,18.0,0.7,-5813136.0,,151790.65244427044,False,False,0.39231128628990547
10,4.0,0.2,-8015384.0,,-0.0,False,False,0.008953780487686547
20,5.0,0.2,-9436605.0,,-0.0,False,False,0.03922165403222814
35,6.0,0.2,-9471234.0,,-0.0,False,False,0.042528951917687186
63,8.0,0.2,-9751200.0,,-0.0,False,False,0.05030520671560036
65,9.0,0.2,-10237491.0,,-0.0,False,False,0.04268773706211343
84,10.0,0.2,-10254350.0,,-0.0,False,False,0.05611084997539207
92,11.0,0.2,-10798579.0,,-0.0,False,False,0.11748483144358637
115,12.0,0.2,-10371108.0,,-0.0,False,False,0.06760574080281949
120,13.0,0.2,-8398923.0,,-0.0,False,False,0.14573754650890836
150,15.0,0.2,-7718760.0,,-0.0,False,False,0.09820748930576939
173,16.0,0.2,-9021200.0,,-0.0,False,False,0.13494614490218465
175,17.0,0.2,-9910167.0,,-0.0,False,False,0.17674399825367526
213,18.0,0.2,-9415458.0,,-0.0,False,False,0.040501024733383253
215,19.0,0.2,-9311957.0,,-0.0,False,False,0.0397514658517292
243,20.0,0.2,-9209900.0,,-0.0,False,False,0.12017194651744409
249,21.0,0.2,-9138129.0,,-0.0,False,False,0.1948133924933409
281,22.0,0.2,-8355358.0,,-0.0,False,False,0.3744125457152709
289,23.0,0.2,-9440672.0,,-0.0,False,False,0.23934432646562628
314,24.0,0.2,-8312232.0,,-0.0,False,False,0.4925200640662373
329,3.0,0.9,-3937797.0,,-0.0,False,False,0.602964504216725
339,4.0,0.9,-2195600.0,,-0.0,False,False,1.39422336343946
349,5.0,0.9,-2514650.0,,-0.0,False,False,0.7150072218744744
359,6.0,0.9,-2607030.0,,-0.0,False,False,0.473660009675244
369,6.0,0.7,-3952086.0,,-0.0,False,False,0.47599009167295003
410,8.0,0.7,-4361248.0,,-0.0,False,False,0.2921468329693121
432,10.0,0.7,-3821980.0,,-0.0,False,False,0.2907087288971059
473,12.0,0.7,-5478492.0,,-0.0,False,False,0.2830469120992844
