#vm,ram,time,-cost
21,0.2,331211,-6955431
21,0.2,323606,-6795726
21,0.2,329979,-6929559
21,0.2,325964,-6845244
21,0.2,332167,-6975507
21,0.2,331688,-6965448
21,0.2,325097,-6827037
21,0.2,334061,-7015281
21,0.2,330114,-6932394
21,0.2,330378,-6937938
21,0.2,333699,-7007679
21,0.2,330476,-6939996
21,0.2,329293,-6915153
21,0.2,325482,-6835122
21,0.2,331198,-6955158
21,0.2,327844,-6884724
21,0.2,327829,-6884409
22,0.2,316924,-6972328
22,0.2,320250,-7045500
22,0.2,318083,-6997826
22,0.2,320946,-7060812
22,0.2,319908,-7037976
22,0.2,322708,-7099576
22,0.2,318047,-6997034
22,0.2,318317,-7002974
22,0.2,321792,-7079424
22,0.2,321483,-7072626
22,0.2,314587,-6920914
22,0.2,334500,-7359000
22,0.2,318377,-7004294
22,0.2,320147,-7043234
22,0.2,322908,-7103976
22,0.2,326750,-7188500
22,0.2,320629,-7053838
22,0.2,324321,-7135062
22,0.2,321862,-7080964
22,0.2,323515,-7117330
22,0.2,322911,-7104042
22,0.2,319071,-7019562
22,0.2,318944,-7016768
23,0.2,328390,-7552970
23,0.2,329830,-7586090
23,0.2,314918,-7243114
23,0.2,326944,-7519712
23,0.2,307916,-7082068
23,0.2,307425,-7070775
23,0.2,305279,-7021417
23,0.2,309325,-7114475
23,0.2,308592,-7097616
23,0.2,312576,-7189248
23,0.2,314830,-7241090
23,0.2,301882,-6943286
23,0.2,328452,-7554396
23,0.2,304477,-7002971
23,0.2,304963,-7014149
23,0.2,329470,-7577810
23,0.2,308559,-7096857
23,0.2,311110,-7155530
24,0.2,298940,-7174560
24,0.2,297460,-7139040
24,0.2,298568,-7165632
24,0.2,299868,-7196832
24,0.2,316964,-7607136
24,0.2,295490,-7091760
24,0.2,314443,-7546632
24,0.2,300309,-7207416
24,0.2,299864,-7196736
24,0.2,303259,-7278216
24,0.2,299902,-7197648
24,0.2,297369,-7136856
24,0.2,298976,-7175424
24,0.2,296755,-7122120
24,0.2,295908,-7101792
24,0.2,300272,-7206528
24,0.2,299884,-7197216
24,0.2,302231,-7253544
24,0.2,300818,-7219632
24,0.2,296027,-7104648
24,0.2,299390,-7185360
24,0.2,295633,-7095192
3,0.9,648748,-1946244
3,0.9,874607,-2623821
3,0.9,912836,-2738508
3,0.9,924586,-2773758
3,0.9,663177,-1989531
3,0.9,616485,-1849455
3,0.9,588905,-1766715
3,0.9,639774,-1919322
3,0.9,593907,-1781721
3,0.9,887975,-2663925
4,0.9,596520,-2386080
4,0.9,586094,-2344376
4,0.9,472556,-1890224
4,0.9,459591,-1838364
4,0.9,458064,-1832256
4,0.9,474352,-1897408
4,0.9,509124,-2036496
4,0.9,611232,-2444928
4,0.9,593471,-2373884
4,0.9,451217,-1804868
5,0.9,372354,-1861770
5,0.9,374843,-1874215
5,0.9,376080,-1880400
5,0.9,372619,-1863095
5,0.9,376059,-1880295
5,0.9,371879,-1859395
5,0.9,374244,-1871220
5,0.9,370905,-1854525
5,0.9,456058,-2280290
5,0.9,378588,-1892940
6,0.9,325844,-1955064
6,0.9,374779,-2248674
6,0.9,380856,-2285136
6,0.9,325485,-1952910
6,0.9,319926,-1919556
6,0.9,323113,-1938678
6,0.9,325117,-1950702
6,0.9,335319,-2011914
6,0.9,325700,-1954200
6,0.9,323302,-1939812
6,0.7,678907,-4073442
6,0.7,646462,-3878772
6,0.7,657732,-3946392
6,0.7,651152,-3906912
6,0.7,640408,-3842448
6,0.7,663877,-3983262
6,0.7,661497,-3968982
6,0.7,661498,-3968988
6,0.7,668756,-4012536
6,0.7,674275,-4045650
6,0.7,659599,-3957594
6,0.7,636738,-3820428
6,0.7,661773,-3970638
6,0.7,676528,-4059168
6,0.7,664593,-3987558
6,0.7,653315,-3919890
6,0.7,668381,-4010286
6,0.7,647927,-3887562
6,0.7,666387,-3998322
6,0.7,652527,-3915162
6,0.7,663471,-3980826
6,0.7,655221,-3931326
6,0.7,655499,-3932994
6,0.7,656855,-3941130
6,0.7,655103,-3930618
6,0.7,637941,-3827646
6,0.7,656460,-3938760
6,0.7,648619,-3891714
6,0.7,660155,-3960930
6,0.7,646414,-3878484
6,0.7,658227,-3949362
6,0.7,642685,-3856110
6,0.7,654800,-3928800
6,0.7,660799,-3964794
6,0.7,665603,-3993618
6,0.7,667736,-4006416
6,0.7,657310,-3943860
6,0.7,672037,-4032222
6,0.7,672858,-4037148
6,0.7,658902,-3953412
6,0.7,655251,-3931506
8,0.7,511997,-4095976
8,0.7,524122,-4192976
8,0.7,508128,-4065024
8,0.7,504577,-4036616
8,0.7,514876,-4119008
8,0.7,516218,-4129744
8,0.7,516599,-4132792
8,0.7,503747,-4029976
8,0.7,525147,-4201176
8,0.7,524835,-4198680
8,0.7,510726,-4085808
8,0.7,506442,-4051536
8,0.7,508895,-4071160
8,0.7,513007,-4104056
8,0.7,523156,-4185248
8,0.7,516555,-4132440
8,0.7,512909,-4103272
8,0.7,518007,-4144056
8,0.7,527056,-4216448
8,0.7,517037,-4136296
10,0.7,422321,-4223210
10,0.7,407990,-4079900
10,0.7,417539,-4175390
10,0.7,415543,-4155430
10,0.7,401989,-4019890
10,0.7,417414,-4174140
10,0.7,418084,-4180840
10,0.7,400525,-4005250
10,0.7,413049,-4130490
10,0.7,409990,-4099900
10,0.7,409218,-4092180
10,0.7,404316,-4043160
10,0.7,410985,-4109850
10,0.7,409994,-4099940
10,0.7,400514,-4005140
10,0.7,397797,-3977970
10,0.7,402417,-4024170
10,0.7,412801,-4128010
10,0.7,421019,-4210190
10,0.7,407585,-4075850
10,0.7,399851,-3998510
10,0.7,400727,-4007270
10,0.7,403556,-4035560
10,0.7,405818,-4058180
10,0.7,417753,-4177530
10,0.7,420062,-4200620
10,0.7,419498,-4194980
10,0.7,433765,-4337650
10,0.7,415085,-4150850
10,0.7,415332,-4153320
10,0.7,412343,-4123430
10,0.7,399517,-3995170
10,0.7,402491,-4024910
10,0.7,398295,-3982950
10,0.7,413053,-4130530
10,0.7,425360,-4253600
10,0.7,414354,-4143540
10,0.7,406483,-4064830
10,0.7,410411,-4104110
10,0.7,399916,-3999160
10,0.7,419336,-4193360
12,0.7,351066,-4212792
12,0.7,358644,-4303728
12,0.7,358665,-4303980
12,0.7,360066,-4320792
12,0.7,352288,-4227456
12,0.7,350682,-4208184
12,0.7,352752,-4233024
12,0.7,347813,-4173756
12,0.7,369477,-4433724
12,0.7,350556,-4206672
12,0.7,362069,-4344828
12,0.7,359722,-4316664
12,0.7,365367,-4384404
12,0.7,361778,-4341336
12,0.7,354608,-4255296
12,0.7,346963,-4163556
12,0.7,363804,-4365648
12,0.7,357560,-4290720
12,0.7,350267,-4203204
12,0.7,351928,-4223136
12,0.7,356136,-4273632
14,0.7,306540,-4291560
14,0.7,307260,-4301640
14,0.7,302266,-4231724
14,0.7,302174,-4230436
14,0.7,293868,-4114152
14,0.7,300987,-4213818
14,0.7,296152,-4146128
14,0.7,299735,-4196290
14,0.7,306113,-4285582
14,0.7,307872,-4310208
14,0.7,302317,-4232438
14,0.7,296889,-4156446
14,0.7,303017,-4242238
14,0.7,307436,-4304104
14,0.7,302768,-4238752
14,0.7,300650,-4209100
14,0.7,303585,-4250190
14,0.7,301368,-4219152
14,0.7,300213,-4202982
14,0.7,308985,-4325790
14,0.7,307371,-4303194
16,0.7,241001,-3856016
16,0.7,241008,-3856128
16,0.7,242996,-3887936
16,0.7,264885,-4238160
16,0.7,280719,-4491504
16,0.7,244550,-3912800
16,0.7,269938,-4319008
16,0.7,263192,-4211072
16,0.7,264111,-4225776
16,0.7,261699,-4187184
16,0.7,282375,-4518000
16,0.7,276719,-4427504
16,0.7,267211,-4275376
16,0.7,264813,-4237008
16,0.7,267150,-4274400
16,0.7,268523,-4296368
16,0.7,262058,-4192928
16,0.7,265848,-4253568
16,0.7,271410,-4342560
16,0.7,247912,-3966592
16,0.7,267360,-4277760
16,0.7,263985,-4223760
16,0.7,264898,-4238368
16,0.7,271869,-4349904
16,0.7,264526,-4232416
16,0.7,258141,-4130256
18,0.7,243940,-4390920
18,0.7,245204,-4413672
18,0.7,250216,-4503888
18,0.7,239075,-4303350
18,0.7,255753,-4603554
18,0.7,235687,-4242366
18,0.7,239192,-4305456
18,0.7,247895,-4462110
18,0.7,242050,-4356900
18,0.7,247854,-4461372
18,0.7,240013,-4320234
18,0.7,248547,-4473846
18,0.7,248045,-4464810
18,0.7,239067,-4303206
18,0.7,241959,-4355262
18,0.7,249226,-4486068
18,0.7,248477,-4472586
18,0.7,243271,-4378878
18,0.7,246649,-4439682
18,0.7,247291,-4451238
18,0.7,247362,-4452516
20,0.7,211976,-4239520
20,0.7,213111,-4262220
20,0.7,218035,-4360700
20,0.7,211275,-4225500
20,0.7,211647,-4232940
20,0.7,214103,-4282060
20,0.7,212810,-4256200
20,0.7,214545,-4290900
20,0.7,214808,-4296160
20,0.7,213474,-4269480
20,0.7,213856,-4277120
20,0.7,214022,-4280440
20,0.7,211561,-4231220
20,0.7,213570,-4271400
20,0.7,214889,-4297780
20,0.7,212993,-4259860
20,0.7,215042,-4300840
20,0.7,210460,-4209200
20,0.7,213875,-4277500
20,0.7,210864,-4217280
20,0.7,213505,-4270100
22,0.7,197338,-4341436
22,0.7,196850,-4330700
22,0.7,194961,-4289142
22,0.7,197879,-4353338
22,0.7,197125,-4336750
22,0.7,198115,-4358530
22,0.7,195422,-4299284
22,0.7,199956,-4399032
22,0.7,197259,-4339698
22,0.7,213270,-4691940
22,0.7,197584,-4346848
22,0.7,199973,-4399406
22,0.7,198194,-4360268
22,0.7,196870,-4331140
22,0.7,196607,-4325354
22,0.7,196814,-4329908
22,0.7,196703,-4327466
22,0.7,198857,-4374854
22,0.7,198235,-4361170
22,0.7,199436,-4387592
22,0.7,193526,-4257572
22,0.7,196003,-4312066
24,0.7,189567,-4549608
24,0.7,188718,-4529232
24,0.7,188443,-4522632
24,0.7,189691,-4552584
24,0.7,189962,-4559088
24,0.7,187222,-4493328
24,0.7,187338,-4496112
24,0.7,189381,-4545144
24,0.7,189770,-4554480
24,0.7,184601,-4430424
24,0.7,189384,-4545216
24,0.7,194429,-4666296
24,0.7,187526,-4500624
24,0.7,188690,-4528560
24,0.7,187036,-4488864
24,0.7,192169,-4612056
24,0.7,187243,-4493832
24,0.7,189558,-4549392
24,0.7,186931,-4486344
24,0.7,188552,-4525248
24,0.7,189848,-4556352
26,0.7,179800,-4674800
26,0.7,178543,-4642118
26,0.7,174800,-4544800
26,0.7,173132,-4501432
26,0.7,178296,-4635696
26,0.7,172653,-4488978
26,0.7,179871,-4676646
26,0.7,177161,-4606186
26,0.7,176651,-4592926
26,0.7,176959,-4600934
26,0.7,177578,-4617028
26,0.7,178710,-4646460
26,0.7,176055,-4577430
26,0.7,177621,-4618146
26,0.7,177639,-4618614
26,0.7,179911,-4677686
26,0.7,178274,-4635124
26,0.7,178404,-4638504
26,0.7,178845,-4649970
26,0.7,179072,-4655872
26,0.7,175001,-4550026
3,4.0,433824,-1301472
3,4.0,508729,-1526187
3,4.0,459325,-1377975
3,4.0,434939,-1304817
3,4.0,497778,-1493334
3,4.0,444343,-1333029
3,4.0,437299,-1311897
3,4.0,437755,-1313265
3,4.0,441034,-1323102
3,4.0,447790,-1343370
4,4.0,337559,-1350236
4,4.0,339163,-1356652
4,4.0,344712,-1378848
4,4.0,338542,-1354168
4,4.0,334237,-1336948
4,4.0,335369,-1341476
4,4.0,338328,-1353312
4,4.0,337372,-1349488
4,4.0,338725,-1354900
4,4.0,343523,-1374092
5,4.0,274908,-1374540
5,4.0,276376,-1381880
5,4.0,275850,-1379250
5,4.0,278698,-1393490
5,4.0,275256,-1376280
5,4.0,276582,-1382910
5,4.0,276087,-1380435
5,4.0,275999,-1379995
5,4.0,276114,-1380570
5,4.0,277101,-1385505
6,4.0,233971,-1403826
6,4.0,230101,-1380606
6,4.0,231923,-1391538
6,4.0,237520,-1425120
6,4.0,231351,-1388106
6,4.0,232549,-1395294
6,4.0,231803,-1390818
6,4.0,236434,-1418604
6,4.0,230585,-1383510
6,4.0,231854,-1391124
3,9.0,233152,-699456
3,9.0,239220,-717660
3,9.0,233220,-699660
3,9.0,227405,-682215
3,9.0,231378,-694134
3,9.0,238040,-714120
3,9.0,257752,-773256
3,9.0,234655,-703965
3,9.0,233796,-701388
3,9.0,238205,-714615
