#vm,time,-cost
6,1267883,-7607298
6,1259862,-7559172
6,1242362,-7454172
6,1261020,-7566120
6,1251922,-7511532
40,312513,-12500520
40,310116,-12404640
40,313181,-12527240
40,314161,-12566440
40,312021,-12480840
42,309869,-13014498
42,312241,-13114122
42,310369,-13035498
42,312504,-13125168
42,310425,-13037850
44,311144,-13690336
44,309214,-13605416
44,312996,-13771824
44,311404,-13701776
44,311266,-13695704
22,401440,-8831680
22,398571,-8768562
22,399147,-8781234
22,403931,-8886482
22,404814,-8905908
36,323722,-11653992
36,325023,-11700828
36,323262,-11637432
36,325377,-11713572
36,322765,-11619540
20,428921,-8578420
20,430682,-8613640
20,432808,-8656160
20,427660,-8553200
20,424020,-8480400
34,331982,-11287388
34,331845,-11282730
34,332806,-11315404
34,334015,-11356510
34,331222,-11261548
18,463143,-8336574
18,463614,-8345052
18,461963,-8315334
18,462461,-8324298
18,468423,-8431614
30,347875,-10436250
30,346960,-10408800
30,346730,-10401900
30,346914,-10407420
30,348308,-10449240
24,383229,-9197496
24,377990,-9071760
24,379806,-9115344
24,381281,-9150744
24,377703,-9064872
32,342982,-10975424
32,338960,-10846720
32,336626,-10772032
32,338000,-10816000
32,339240,-10855680
26,367306,-9549956
26,366048,-9517248
26,367550,-9556300
26,365686,-9507836
26,367360,-9551360
16,500060,-8000960
16,503490,-8055840
16,499126,-7986016
16,507063,-8113008
16,500389,-8006224
14,562368,-7873152
14,572651,-8017114
14,567524,-7945336
14,563057,-7882798
14,568009,-7952126
14,566336,-7928704
14,562731,-7878234
14,568262,-7955668
14,561825,-7865550
14,569079,-7967106
28,357418,-10007704
28,357766,-10017448
28,355512,-9954336
28,359473,-10065244
28,355886,-9964808
10,764129,-7641290
10,778848,-7788480
10,770345,-7703450
10,764310,-7643100
10,771881,-7718810
10,763341,-7633410
10,774220,-7742200
10,761052,-7610520
10,783363,-7833630
10,774186,-7741860
38,316944,-12043872
38,317996,-12083848
38,318151,-12089738
38,318061,-12086318
38,319508,-12141304
12,651249,-7814988
12,653753,-7845036
12,653037,-7836444
12,651691,-7820292
12,642995,-7715940
12,644331,-7731972
12,649418,-7793016
12,660065,-7920780
12,649333,-7791996
12,652874,-7834488
8,931019,-7448152
8,935629,-7485032
8,934531,-7476248
8,952663,-7621304
8,939677,-7517416
