index,#vm,ram,target,memory_queue,acquisition,terminated,feasible,ml_mape
116,12.0,0.2,-10052952.0,,,False,False,
626,26.0,0.7,-4469998.0,,,False,True,
195,17.0,0.2,-9542678.0,,,False,False,
314,24.0,0.2,-8312232.0,,151.47934778067727,False,False,0.9046970860859084
0,3.0,0.2,-6782883.0,,0.0,False,False,0.371201680160426
604,24.0,0.7,-4437600.0,,2.228123024367271,False,True,0.23236904640371264
583,22.0,0.7,-4142446.0,,64.85658317429741,False,True,0.07219801204364623
10,4.0,0.2,-8015384.0,,0.0,False,False,0.023944814256357277
20,5.0,0.2,-9436605.0,,0.0,False,False,0.015993953090333628
35,6.0,0.2,-9471234.0,,0.0,False,False,0.07682411811521171
40,7.0,0.2,-10276763.0,,0.0,False,False,0.03568786158910308
63,8.0,0.2,-9751200.0,,0.0,False,False,0.11996710580761752
562,20.0,0.7,-4132180.0,,9.806468549903228,False,False,0.05178522492556162
65,9.0,0.2,-10237491.0,,0.0,False,False,0.05790012314196109
84,10.0,0.2,-10254350.0,,0.0,False,False,0.038070213732635826
92,11.0,0.2,-10798579.0,,0.0,False,False,0.04264396764484267
120,13.0,0.2,-8398923.0,,0.0,False,False,0.14818372972732236
150,15.0,0.2,-7718760.0,,0.0,False,False,0.09353327839379706
173,16.0,0.2,-9021200.0,,0.0,False,False,0.13231787795399158
213,18.0,0.2,-9415458.0,,0.0,False,False,0.23038063025291133
215,19.0,0.2,-9311957.0,,0.0,False,False,0.20391043341214166
243,20.0,0.2,-9209900.0,,0.0,False,False,0.1598730134409277
249,21.0,0.2,-9138129.0,,0.0,False,False,0.09827860065363889
281,22.0,0.2,-8355358.0,,0.0,False,False,0.067692307034026
289,23.0,0.2,-9440672.0,,0.0,False,False,0.013468799593874186
329,3.0,0.9,-3937797.0,,0.0,False,False,0.649253110545199
541,18.0,0.7,-5813136.0,,1.020502459806479,False,False,0.4724576095425223
339,4.0,0.9,-2195600.0,,0.0,False,False,1.424797289771899
349,5.0,0.9,-2514650.0,,0.0,False,False,0.7304827659957456
515,16.0,0.7,-4027792.0,,14.530813293803758,False,False,0.2869843860973455
359,6.0,0.9,-2607030.0,,0.0,False,False,0.4987947219857954
369,6.0,0.7,-3952086.0,,0.0,False,False,0.4813994710983524
410,8.0,0.7,-4361248.0,,0.0,False,False,0.3050902644424712
