index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
98962,12.0,20.0,256.0,128.0,256.0,5.0,24.0,2.0,-3400.25087698572,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1188.7762480773563,False,False,0.10164815152499408
163483,16.0,2.0,256.0,128.0,256.0,2.0,32.0,4.0,-2136.37249058782,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1169.4437131674017,False,True,0.02513266063417243
337411,32.0,2.0,50.0,192.0,256.0,5.0,20.0,4.0,-2386.74900561468,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1205.4248932094038,False,False,0.03358317322475572
7130,8.0,5.0,30.0,192.0,256.0,5.0,8.0,1.0,-2204.26017641497,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1263.3343691341406,False,False,0.07446126915075253
53233,8.0,2.0,50.0,192.0,256.0,5.0,48.0,1.0,-4256.84945257064,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1223.6252814314166,False,False,0.024665681852604204
231258,20.0,1.0,256.0,160.0,256.0,1.0,48.0,4.0,-2439.62861696919,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1136.0040040669019,False,False,0.14105795639341748
400026,48.0,1.0,256.0,128.0,256.0,1.0,24.0,4.0,-2961.8576073774,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1140.8615720005653,False,False,0.08201211394318612
62298,12.0,1.0,256.0,160.0,256.0,1.0,8.0,4.0,-1227.45157098072,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1080.915918277689,False,False,0.2941398531658576
5640,8.0,1.0,256.0,192.0,256.0,4.0,8.0,1.0,-3016.97112919678,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1208.3885357516947,False,False,0.08079830250046945
68016,12.0,1.0,50.0,96.0,256.0,5.0,8.0,1.0,-2509.37472397235,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1218.5220432011945,False,False,0.1105154409854589
369792,48.0,1.0,10.0,224.0,256.0,1.0,8.0,1.0,-5098.8071120126,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1065.396538530315,False,False,0.37777797202568014
261978,24.0,1.0,256.0,160.0,256.0,1.0,16.0,4.0,-1955.57008249772,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1042.08682112725,False,False,0.05007170706759948
