ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,sum,True,True,RBF,ei,300,36.691,36.628,36.691,36.628,100.0,22.137
indicator,sum,True,True,RBF,ucb,300,22.006,33.305,22.006,33.305,100.0,40.395
indicator,sum,True,True,Matern,ei,300,19.902,32.044,19.902,32.044,100.0,6.427
indicator,sum,True,True,Matern,ucb,300,29.458,32.813,29.458,32.813,100.0,7.29
indicator,sum,True,False,None,ei,300,6.557,20.477,6.557,20.477,100.0,7.076
indicator,sum,True,False,RBF,ei,300,24.401,33.412,24.401,33.412,100.0,22.269
indicator,sum,True,False,RBF,ucb,300,26.98,34.025,26.98,34.025,100.0,52.115
indicator,sum,True,False,Matern,ei,300,27.441,36.62,27.441,36.62,100.0,7.018
indicator,sum,True,False,Matern,ucb,300,40.502,36.016,40.502,36.016,100.0,7.396
indicator,sum,False,True,None,ei,300,9.079,21.913,9.079,21.913,100.0,6.484
indicator,sum,False,True,RBF,ei,300,28.414,36.491,28.414,36.491,100.0,20.776
indicator,sum,False,True,RBF,ucb,300,27.431,35.645,27.431,35.645,100.0,42.046
indicator,sum,False,True,Matern,ei,300,19.902,32.044,19.902,32.044,100.0,6.767
indicator,sum,False,True,Matern,ucb,300,29.458,32.813,29.458,32.813,100.0,7.085
indicator,sum,False,False,None,ei,300,6.557,20.477,6.557,20.477,100.0,7.002
indicator,sum,False,False,RBF,ei,300,26.063,34.22,26.063,34.22,100.0,23.162
indicator,sum,False,False,RBF,ucb,300,28.618,33.503,28.618,33.503,100.0,51.956
indicator,sum,False,False,Matern,ei,300,27.441,36.62,27.441,36.62,100.0,6.932
indicator,sum,False,False,Matern,ucb,300,40.502,36.016,40.502,36.016,100.0,6.931
indicator,product,True,True,None,ei,300,12.634,24.866,12.634,24.866,100.0,5.914
indicator,product,True,True,RBF,ei,300,26.211,35.566,26.211,35.566,100.0,21.449
indicator,product,True,True,RBF,ucb,300,20.939,32.143,20.939,32.143,100.0,45.351
indicator,product,True,True,Matern,ei,300,22.543,33.526,22.543,33.526,100.0,6.862
