ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,sum,False,False,RBF,ucb,600,27.896,34.517,27.896,34.517,100.0,16.241
indicator,None,False,False,None,ei,65,inf,inf,0.152,0.538,90.0,2.937
indicator,None,False,False,None,ei,150,3.396,10.187,3.396,10.187,100.0,6.044
indicator,None,False,False,None,ei,300,21.618,31.212,21.618,31.212,100.0,6.163
indicator,None,False,False,None,ei,450,18.586,28.122,18.586,28.122,100.0,6.338
indicator,None,False,False,None,ei,600,21.397,32.13,21.397,32.13,100.0,6.272
None,None,False,False,RBF,ucb,65,0.137,0.513,0.137,0.513,100.0,31.456
None,None,False,False,RBF,ucb,150,3.533,10.154,3.533,10.154,100.0,17.661
None,None,False,False,RBF,ucb,300,2.264,8.47,2.264,8.47,100.0,32.026
None,None,False,False,RBF,ucb,450,0.137,0.513,0.137,0.513,100.0,18.157
None,None,False,False,RBF,ucb,600,3.533,10.154,3.533,10.154,100.0,10.902
